f1_mean,f1_std,f1_min,f1_max,f2_mean,f2_std,f2_min,f2_max,f3_mean,f3_std,f3_min,f3_max,f4_mean,f4_std,f4_min,f4_max,f5_mean,f5_std,f5_min,f5_max,pitch3_mean,pitch3_std,pitch3_min,pitch3_max,activity
3.100550119680437e-15,11.65260704821649,-16.94534090909091,14.554659090909098,-2.0670334131202917e-15,23.164601689559667,-31.301136363636367,27.098863636363625,1.0335167065601457e-15,16.609814384402302,-23.404545454545456,19.09545454545455,2.0670334131202917e-15,26.239975235536527,-36.66704545454545,27.432954545454542,1.5502750598402185e-15,14.386404881098423,-20.389772727272728,18.91022727272727,-2.0670334131202917e-15,70.01338594111294,-141.5825101817018,191.05214848606363,002
5.102988738640719e-15,3.320482234966373,-23.425,8.07500000000001,-4.392446002880619e-15,1.146459132890671,-16.482954545454547,1.0170454545454533,6.265695033520884e-15,1.5622001819787312,-17.96102272727272,3.338977272727277,2.34156128830033e-16,1.325605540524876,-12.873295454545456,3.5267045454545496,-4.521635591200637e-16,1.506081336361201,-20.259090909090908,1.7409090909090992,-2.3011895419503244e-15,1.0030434687586696,-4.421285470818107,3.052376008868343,008
9.043271182401274e-16,4.558373050016841,-15.961022727272727,8.938977272727278,4.521635591200637e-16,7.089805012202643,-19.63715909090909,11.462840909090907,2.390007383920337e-15,8.171684045024925,-21.336931818181817,10.56306818181818,-9.689219124001363e-16,7.775834698325436,-22.02125,10.678749999999988,-3.585011075880505e-15,4.653497079865211,-18.03886363636364,7.661136363636363,1.2402200478721748e-14,95.77319951746146,-47.32675596683208,310.61372963847646,005
4.501449718025635e-15,0.7118261548229898,-11.43465909090909,0.0653409090909136,6.762267513625953e-16,0.5182196831261224,-8.028295454545454,0.4717045454545427,4.501449718025635e-15,0.7118261548229898,-11.43465909090909,0.0653409090909136,4.501449718025635e-15,0.7118261548229898,-11.43465909090909,0.0653409090909136,-3.7586095851855304e-15,0.6859675256752259,-10.895909090909091,0.404090909090911,5.732787981700809e-16,0.3140996742334519,-0.0751076049691761,5.041978463344174,013
-1.0335167065601457e-15,3.671761473979148,-11.323295454545455,6.976704545454545,1.291895883200182e-16,3.0986638599470835,-13.66931818181818,7.930681818181821,-2.7129813547203826e-15,9.529406748334685,-21.654545454545456,14.545454545454554,3.875687649600546e-15,10.37915762557487,-23.672272727272723,15.72772727272728,2.325412589760328e-15,6.947576094200821,-19.41522727272727,14.584772727272735,7.751375299201094e-16,85.34740942176218,-132.0865785379795,170.09537331858272,003
0.0,15.7017014264681,-15.786363636363635,17.013636363636365,-1.0335167065601457e-15,10.91672658911487,-10.981818181818182,11.218181818181815,2.0670334131202917e-15,11.421728094978445,-11.489772727272728,11.510227272727276,1.0335167065601457e-15,11.415904837745575,-11.48409090909091,11.515909090909094,1.0335167065601457e-15,9.478811135221024,-9.534090909090908,10.465909090909092,-2.0670334131202917e-15,22.35344829890473,-21.27801502382383,42.46239376889,009
1.653626730496233e-14,52.25485967356657,-75.03636363636363,36.96363636363638,2.4804400957443496e-14,52.29944244948373,-75.10113636363636,37.09886363636366,8.268133652481165e-15,52.30927756139777,-75.11556818181819,37.18443181818182,1.4469233891842042e-14,52.26977950186469,-75.05909090909091,36.9409090909091,1.4469233891842042e-14,52.30265193596903,-75.10568181818182,37.0943181818182,5.167583532800728e-16,82.46753826376053,-175.5466949677742,183.0423788616225,007
4.53778428974064e-15,5.199630425320377,-21.15840909090909,8.341590909090918,1.0335167065601457e-15,8.698218516396768,-28.07556818181818,11.324431818181829,2.842170943040401e-15,12.033013673456836,-31.40965909090909,11.09034090909092,-1.6148698540002276e-15,9.46969435871176,-27.24034090909091,8.959659090909085,2.583791766400364e-16,10.021448070810449,-29.336136363636363,12.963863636363648,5.167583532800728e-16,39.607143731279336,-136.10227825412713,132.17031241320737,001
-1.162706294880164e-15,1.2734043450660364,-17.055681818181817,2.744318181818187,-3.500230408545493e-15,0.6808771915698156,-10.9375,0.0624999999999964,-1.404936772980198e-15,0.7190788414112109,-11.377272727272732,0.1227272727272712,-4.731568672220667e-15,1.297010105727595,-19.50511363636364,0.5948863636363626,2.809873545960396e-15,1.122844836502135,-12.318863636363634,1.981136363636363,1.2725174449521797e-14,3.3557976736458364,-37.04825382516061,8.001125774795483,012
3.8756876496005453e-16,4.385204708827908,-25.92215909090909,8.677840909090904,1.9378438248002726e-16,5.342744438036062,-28.639772727272728,6.460227272727273,1.9378438248002726e-16,5.27656913327039,-29.3,8.100000000000005,-7.105427357601002e-16,5.699149186175162,-31.26409090909091,7.7359090909090895,-1.7925055379402526e-15,3.0903791302856285,-22.36011363636364,7.039886363636359,-7.751375299201094e-16,47.51296260099799,-72.43773818872631,143.77533425522648,010
1.0335167065601457e-15,11.440776627253536,-12.377272727272729,11.822727272727276,2.0670334131202917e-15,18.22236071310953,-18.62136363636364,24.47863636363636,-2.0670334131202917e-15,17.14206626689911,-17.859318181818182,22.140681818181815,0.0,17.68413918512881,-18.49590909090909,22.50409090909092,4.134066826240583e-15,11.480127887440256,-12.319772727272726,14.08022727272728,2.583791766400364e-16,46.138079527489054,-71.99484441744387,135.6891782881916,002
-3.100550119680437e-15,10.743697700943384,-8.952272727272728,13.14772727272727,3.100550119680437e-15,9.756223644084244,-8.129545454545454,11.870454545454546,-2.5837917664003644e-15,10.742312201567705,-8.951136363636364,13.148863636363634,-1.5502750598402185e-15,10.740926403248462,-8.95,13.049999999999995,0.0,12.7014466459859,-10.584090909090907,15.815909090909091,0.0,38.668836844168,-32.17994407822783,51.55898359573228,012
