feature,mean,std
f1_mean,2.9810319394198544e-16,3.404359275666429e-15
f1_std,7.4740246162726525,7.989333224945983
f1_min,-18.783595421122996,13.549825027425916
f1_max,9.039051637700537,11.727061555849138
f2_mean,2.3691803124209514e-16,3.5691304981660944e-15
f2_std,9.16890604863307,8.942541017833106
f2_min,-20.53887002005348,14.246964872060623
f2_max,11.328012332887704,10.897106697056373
f3_mean,-5.798095218443463e-17,3.25351815266826e-15
f3_std,8.73782785289152,7.435657527265015
f3_min,-19.874129344919783,11.08478476301125
f3_max,10.389753008021392,9.900105616037974
f4_mean,2.0046650020310547e-16,3.315788138517531e-15
f4_std,9.096121257045356,7.821199110184371
f4_min,-20.600592212566845,12.695478839490576
f4_max,11.262554846256684,10.488920935525606
f5_mean,2.475322383192334e-16,3.2486205509258377e-15
f5_std,8.160001597256667,7.539203399512503
f5_min,-19.15774000668449,11.52809122632053
f5_max,10.736907052139038,10.531329605737408
pitch3_mean,-1.9713583112923005e-16,5.885200431964722e-15
pitch3_std,52.04285041233144,36.287934988551264
pitch3_min,-89.36496898720704,67.77332383192388
pitch3_max,96.070340836665,68.47096596797606
